         5x4E-4                   (5x4E-4.dat)                                 09/10/18                                                                                   
                                                                                                                                                                          
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
        28.6        1.01     -0.0042     -0.0001      0.0270       0.001       0.015       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       7000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2774      0.1772       0.015       0.138       0.271                                                                          
         1.1        0.03      0.0532      0.2755      0.1790       0.015       0.139       0.269                                                                          
         2.3        0.07      0.1046      0.2731      0.1805       0.016       0.140       0.266                                                                          
         3.4        0.10      0.1543      0.2701      0.1816       0.016       0.141       0.263                                                                          
         4.6        0.14      0.2023      0.2664      0.1821       0.016       0.141       0.260                                                                          
         5.7        0.17      0.2486      0.2619      0.1821       0.016       0.141       0.256                                                                          
         6.9        0.21      0.2931      0.2565      0.1816       0.016       0.141       0.250                                                                          
         8.0        0.24      0.3349      0.2501      0.1807       0.016       0.140       0.244                                                                          
         9.2        0.28      0.3746      0.2428      0.1793       0.015       0.139       0.237                                                                          
        10.3        0.31      0.4123      0.2341      0.1767       0.015       0.137       0.228                                                                          
        11.5        0.35      0.4479      0.2258      0.1743       0.015       0.135       0.220                                                                          
        12.6        0.38      0.4814      0.2167      0.1712       0.015       0.133       0.211                                                                          
        13.7        0.41      0.5127      0.2073      0.1678       0.014       0.130       0.202                                                                          
        14.9        0.45      0.5414      0.1976      0.1640       0.014       0.127       0.193                                                                          
        16.0        0.48      0.5672      0.1876      0.1600       0.014       0.124       0.183                                                                          
        17.2        0.52      0.5897      0.1771      0.1558       0.013       0.121       0.173                                                                          
        18.3        0.55      0.6096      0.1664      0.1510       0.013       0.117       0.162                                                                          
        19.5        0.59      0.6266      0.1554      0.1457       0.013       0.113       0.152                                                                          
        20.6        0.62      0.6409      0.1440      0.1398       0.012       0.109       0.141                                                                          
        21.8        0.66      0.6527      0.1324      0.1332       0.011       0.103       0.129                                                                          
        22.9        0.69      0.6624      0.1205      0.1258       0.011       0.098       0.118                                                                          
        24.1        0.73      0.6695      0.1083      0.1174       0.010       0.091       0.106                                                                          
        25.2        0.76      0.6729      0.0958      0.1083       0.009       0.084       0.093                                                                          
        26.4        0.80      0.6719      0.0830      0.0982       0.008       0.076       0.081                                                                          
        27.5        0.83      0.6647      0.0700      0.0873       0.008       0.068       0.068                                                                          
        28.6        0.86      0.6449      0.0566      0.0759       0.007       0.059       0.055                                                                          
        29.8        0.90      0.6032      0.0430      0.0640       0.006       0.050       0.042                                                                          
        30.9        0.93      0.5224      0.0290      0.0518       0.004       0.040       0.028                                                                          
        32.1        0.97      0.3586      0.0147      0.0397       0.003       0.031       0.014                                                                          
        33.2        1.00     -0.0019     -0.0001      0.0282       0.002       0.022       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       8000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2775      0.1774       0.023       0.180       0.354                                                                          
