         5x7.5E                   (5x75E.dat)                                                                                                                             
         v2020-0506                                                                                                                                                       
         Simulation Date: 05/13/2020                                                                                                                                      
                                                                                                                                                                          
         POLARS WERE GENERATED USING:  TAIR (DEFAULT, BATCH)                                                                                                              
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
         Mach (at prop tip)                                                                                                                                               
         Reyn (at 75% of span)                                                                                                                                            
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
        24.6        1.04      0.7543      0.1382      0.1903       0.006       0.075       0.069       4.460       0.009       0.306       6.996        0.10      19772.  
        26.0        1.10      0.7654      0.1278      0.1837       0.006       0.073       0.064       4.305       0.008       0.283       6.705        0.11      19966.  
        27.5        1.16      0.7734      0.1172      0.1760       0.006       0.070       0.058       4.123       0.008       0.260       6.418        0.11      20169.  
        28.9        1.22      0.7778      0.1064      0.1671       0.005       0.066       0.053       3.916       0.007       0.235       6.132        0.11      20381.  
        30.4        1.28      0.7785      0.0953      0.1571       0.005       0.062       0.047       3.680       0.007       0.211       5.845        0.11      20601.  
        31.8        1.34      0.7780      0.0840      0.1452       0.005       0.058       0.042       3.403       0.006       0.186       5.576        0.11      20830.  
        33.3        1.41      0.7752      0.0727      0.1318       0.004       0.052       0.036       3.088       0.006       0.161       5.314        0.11      21066.  
        34.7        1.47      0.7659      0.0611      0.1170       0.004       0.046       0.030       2.742       0.005       0.135       5.032        0.11      21310.  
        36.2        1.53      0.7471      0.0494      0.1010       0.003       0.040       0.025       2.366       0.005       0.109       4.712        0.11      21562.  
        37.6        1.59      0.7122      0.0375      0.0835       0.003       0.033       0.019       1.958       0.004       0.083       4.319        0.11      21821.  
        39.1        1.65      0.6408      0.0252      0.0648       0.002       0.026       0.013       1.518       0.003       0.056       3.742        0.11      22087.  
        40.5        1.71      0.4852      0.0127      0.0447       0.001       0.018       0.006       1.047       0.002       0.028       2.732        0.11      22359.  
        42.0        1.77     -0.0004      0.0000      0.0232       0.001       0.009       0.000       0.544       0.001       0.000      -0.002        0.11      22638.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       6000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1525      0.0974       0.005       0.056       0.109       3.945       0.006       0.486      12.564        0.12      21710.  
         1.7        0.06      0.0913      0.1526      0.1021       0.006       0.058       0.109       4.134       0.007       0.487      12.002        0.12      21718.  
         3.5        0.12      0.1744      0.1528      0.1071       0.006       0.061       0.110       4.337       0.007       0.487      11.455        0.12      21740.  
         5.2        0.18      0.2495      0.1531      0.1125       0.006       0.064       0.110       4.556       0.007       0.488      10.926        0.12      21776.  
         6.9        0.24      0.3172      0.1535      0.1183       0.006       0.067       0.110       4.790       0.008       0.489      10.418        0.12      21827.  
         8.7        0.31      0.3780      0.1540      0.1245       0.007       0.071       0.110       5.040       0.008       0.491       9.933        0.12      21892.  
        10.4        0.37      0.4325      0.1546      0.1310       0.007       0.075       0.111       5.305       0.008       0.493       9.472        0.12      21972.  
        12.2        0.43      0.4814      0.1553      0.1380       0.007       0.079       0.111       5.586       0.009       0.495       9.036        0.12      22065.  
        13.9        0.49      0.5251      0.1561      0.1453       0.008       0.083       0.112       5.883       0.009       0.498       8.624        0.12      22173.  
        15.6        0.55      0.5642      0.1570      0.1530       0.008       0.087       0.113       6.197       0.010       0.501       8.237        0.12      22294.  
        17.4        0.61      0.5991      0.1581      0.1612       0.009       0.092       0.113       6.528       0.010       0.504       7.871        0.12      22429.  
        19.1        0.67      0.6303      0.1590      0.1696       0.009       0.097       0.114       6.865       0.011       0.507       7.529        0.12      22577.  
        20.8        0.73      0.6585      0.1596      0.1777       0.010       0.101       0.114       7.196       0.011       0.509       7.209        0.12      22738.  
        22.6        0.79      0.6835      0.1595      0.1854       0.010       0.106       0.114       7.506       0.012       0.509       6.908        0.12      22911.  
        24.3        0.86      0.7059      0.1580      0.1916       0.010       0.109       0.113       7.756       0.012       0.504       6.624        0.12      23097.  
        26.0        0.92      0.7253      0.1542      0.1948       0.011       0.111       0.111       7.889       0.013       0.492       6.354        0.12      23295.  
        27.8        0.98      0.7409      0.1474      0.1945       0.011       0.111       0.106       7.875       0.013       0.470       6.084        0.12      23505.  
        29.5        1.04      0.7542      0.1383      0.1905       0.010       0.109       0.099       7.715       0.012       0.441       5.829        0.13      23727.  
        31.2        1.10      0.7654      0.1280      0.1839       0.010       0.105       0.092       7.447       0.012       0.408       5.587        0.13      23960.  
